1000 2122
180 406 0
181 261 23
181 460 68
181 722 28
182 32 217
183 406 0
183 781 0
183 881 44
184 786 78
184 915 0
184 959 0
185 451 193
185 915 0
186 488 22
186 740 36
187 227 8
187 714 0
188 94 17
188 331 0
188 359 92
188 681 58
188 793 0
189 450 50
190 363 0
190 523 0
190 625 0
191 139 17
192 206 0
192 363 0
193 386 0
193 870 0
194 369 54
194 684 137
194 743 0
195 999 57
196 18 0
196 441 0
197 99 0
198 527 0
198 929 0
199 789 45
200 249 0
201 644 0
202 453 0
203 130 0
203 541 0
204 101 0
205 401 39
206 999 193
207 175 0
207 377 0
208 216 0
208 773 0
208 778 0
208 784 0
209 736 0
210 699 0
210 873 0
211 362 0
211 658 0
212 654 0
213 600 44
213 906 8
214 159 49
214 365 0
214 674 0
215 965 0
216 2 0
216 733 0
217 491 81
217 530 35
217 540 50
217 747 99
217 813 0
218 627 0
219 421 0
220 191 0
220 673 0
221 652 0
222 56 0
222 249 0
222 488 2
222 659 0
223 9 0
223 97 0
223 618 0
224 172 0
224 323 0
225 389 0
226 999 100
227 437 8
228 143 69
228 299 82
229 182 90
229 202 0
230 72 0
230 507 0
231 999 83
232 73 0
232 161 0
232 255 0
232 358 0
232 766 28
233 78 0
233 154 0
233 399 0
233 923 99
234 600 0
235 194 0
235 625 0
236 4 76
236 36 0
236 997 0
237 665 0
237 785 0
238 165 38
238 623 7
238 697 0
238 786 98
238 799 73
239 999 130
240 65 59
240 270 39
240 426 96
240 743 0
240 832 28
241 71 45
241 86 0
241 550 0
242 439 0
242 941 0
243 78 88
243 102 0
243 178 10
244 999 40
245 199 45
246 999 76
247 683 91
247 714 57
248 999 5
249 484 0
250 442 0
251 999 178
252 426 32
252 687 0
253 629 0
253 920 0
254 2 149
254 142 58
254 206 62
254 764 90
255 506 25
255 905 7
256 402 0
256 757 125
257 868 0
258 999 103
259 645 0
260 267 6
260 298 0
260 620 0
260 998 0
261 289 19
261 347 4
262 171 27
262 420 53
263 485 34
263 644 0
263 960 0
264 257 0
264 399 0
265 416 0
265 744 0
266 535 0
267 85 6
267 475 0
267 985 0
268 510 20
268 885 0
269 636 0
270 999 157
271 365 0
271 649 0
272 263 0
273 999 259
274 305 0
275 392 187
275 717 86
276 659 25
277 183 44
277 276 25
277 611 78
278 541 0
279 999 91
280 96 35
280 276 0
281 189 0
281 327 0
281 356 0
281 404 0
281 887 0
282 99 0
282 756 80
283 434 0
284 772 90
285 85 33
285 803 0
286 704 2
286 828 0
287 999 67
288 18 56
288 201 0
288 682 85
289 62 76
289 997 0
290 889 0
291 3 10
292 999 70
293 46 39
294 533 0
295 613 0
295 620 61
295 724 182
296 368 0
297 48 0
297 139 0
298 860 0
299 175 82
299 209 0
300 619 22
301 881 0
302 126 0
302 280 0
303 182 58
303 339 18
303 710 9
303 919 0
304 999 150
305 999 149
306 304 92
306 868 43
307 194 36
307 250 0
307 293 0
307 764 16
308 280 0
308 608 0
308 667 0
309 869 0
309 939 0
310 999 304
311 999 27
312 110 75
312 170 0
312 965 74
313 413 100
313 727 72
313 986 55
314 194 0
314 833 0
315 361 0
315 715 0
316 432 64
317 527 0
318 882 89
319 795 0
319 873 0
320 568 0
321 113 15
321 166 75
321 182 59
321 753 52
322 566 0
322 769 0
323 691 0
323 719 0
324 938 0
325 184 78
325 811 39
326 355 0
327 139 94
327 265 0
328 63 0
328 704 0
329 215 0
329 220 0
329 750 37
330 18 0
330 670 11
330 844 0
331 274 0
332 999 14
333 405 0
333 581 0
333 733 0
333 734 0
333 756 51
333 889 69
334 237 0
334 742 70
334 771 0
334 905 0
335 467 0
335 829 130
336 433 49
336 532 39
336 666 0
337 93 0
338 871 0
339 192 0
339 395 18
340 242 0
340 332 14
341 202 0
342 999 117
343 416 0
343 503 0
343 823 8
344 408 98
345 278 0
345 551 42
346 266 0
346 341 0
346 547 0
346 779 0
346 790 0
347 518 0
347 628 4
347 877 0
348 574 46
348 870 3
349 5 0
350 252 32
350 694 0
351 882 0
351 992 0
352 632 0
352 752 0
352 783 276
352 846 0
353 176 0
354 232 0
354 676 0
354 800 0
355 475 0
356 422 0
356 995 0
357 466 84
358 128 0
358 648 185
359 999 92
360 612 120
361 635 0
361 849 0
362 322 0
362 490 0
363 16 85
363 171 0
363 280 0
363 377 0
363 426 83
364 67 95
364 721 0
365 999 66
366 363 0
366 708 0
366 888 0
366 913 0
367 880 96
367 928 60
368 233 0
368 469 0
368 828 0
369 999 125
370 473 0
370 640 95
370 861 4
371 221 0
372 42 0
372 851 0
372 976 0
373 50 0
373 433 24
374 755 165
374 992 105
375 564 0
376 10 0
376 51 94
376 137 0
376 233 99
377 999 60
378 59 0
378 120 0
378 566 0
378 674 0
378 916 33
379 135 40
379 556 39
380 519 88
381 402 0
381 659 67
381 689 0
382 461 0
382 744 0
383 311 27
383 353 0
383 380 88
383 581 0
384 514 0
384 809 0
385 307 0
385 642 0
385 908 0
386 636 0
387 119 32
387 695 67
388 256 75
389 97 0
389 673 0
389 964 0
390 639 44
391 506 23
391 789 49
392 204 0
392 352 94
392 553 93
392 588 0
393 880 0
393 993 4
394 689 0
395 999 84
396 34 0
397 999 75
398 112 98
398 209 0
398 667 50
399 532 54
400 13 0
401 999 126
402 347 0
403 999 115
404 550 0
405 114 0
406 400 0
407 236 0
407 673 0
407 796 112
407 952 75
408 999 135
409 107 0
409 150 0
409 195 43
409 631 60
410 999 56
411 43 0
411 263 0
411 334 70
412 940 182
413 429 100
414 817 0
415 645 0
415 804 87
416 256 0
416 626 0
416 942 0
417 375 0
417 474 0
417 661 0
418 999 203
419 999 87
420 615 53
420 855 0
421 30 0
421 226 80
422 999 115
423 7 0
423 90 98
424 542 100
425 164 0
425 233 0
425 486 63
426 999 211
427 200 0
428 808 0
429 634 144
429 844 0
430 942 0
430 976 0
430 991 51
431 387 0
431 439 0
431 853 0
432 999 109
433 219 0
433 898 73
434 111 0
434 371 0
434 431 0
435 923 31
435 990 0
436 404 0
436 847 0
436 963 44
437 999 32
438 514 0
439 453 0
440 302 0
440 811 0
440 898 0
441 919 0
442 223 0
443 728 0
444 309 0
445 999 14
446 134 0
446 629 80
447 429 44
447 808 0
448 86 0
448 690 0
448 934 0
449 246 76
449 248 5
449 825 0
450 256 50
450 721 0
451 999 193
452 130 0
452 310 193
453 420 0
454 745 19
455 723 0
456 169 0
456 297 0
456 615 0
456 850 113
456 888 130
457 690 0
457 794 0
458 93 0
459 28 0
459 310 87
460 30 68
461 38 98
461 172 0
461 914 0
462 507 0
462 631 0
462 959 0
463 421 80
463 863 0
464 371 0
464 377 60
465 8 141
465 924 176
465 968 0
466 532 84
467 40 0
467 950 0
468 413 0
468 706 0
469 15 0
469 127 0
469 367 0
469 435 0
469 669 0
470 999 60
471 377 0
472 77 0
472 362 0
473 71 0
473 602 0
473 813 0
474 184 0
474 281 0
474 654 0
475 53 0
475 210 0
475 346 0
475 405 0
476 99 0
476 458 0
476 971 0
477 272 0
477 338 0
477 469 0
477 651 0
478 144 0
478 327 94
478 626 169
478 790 0
478 831 48
479 283 0
479 943 0
480 101 0
480 477 0
480 586 89
481 999 22
482 25 0
482 76 0
482 416 0
482 684 92
483 951 126
484 255 0
484 322 0
484 574 0
485 999 34
486 999 63
487 408 0
487 432 0
487 870 0
487 950 0
487 966 86
487 976 0
488 999 102
489 999 128
490 580 0
491 329 0
491 358 165
491 696 0
491 929 0
492 706 275
493 999 63
494 186 0
494 219 0
495 547 0
495 968 167
496 107 0
496 349 0
497 662 82
498 198 0
498 480 89
499 414 0
499 545 193
499 691 0
499 966 0
500 371 0
501 363 127
501 389 0
501 452 76
501 685 17
501 828 0
502 784 0
503 494 0
503 961 0
504 333 120
504 670 213
504 920 0
505 736 0
505 788 0
506 153 105
507 268 20
507 360 44
507 813 0
508 999 4
509 946 88
510 999 155
511 813 0
511 862 0
511 904 0
512 939 0
513 60 0
513 307 0
513 487 86
514 477 0
515 813 0
516 999 7
517 999 39
518 26 0
519 633 88
520 473 0
521 740 0
522 639 74
523 594 0
523 824 0
523 956 0
524 999 90
525 999 127
526 527 0
527 706 0
528 12 41
528 86 0
528 279 91
528 524 90
528 535 121
528 746 85
528 855 0
529 147 0
529 541 0
529 720 0
529 977 0
530 270 118
530 631 0
530 713 0
531 750 0
532 999 192
533 353 0
533 613 0
533 826 0
534 571 28
535 6 31
535 165 90
535 639 0
535 920 0
536 163 56
536 238 216
536 399 54
537 208 0
537 238 0
537 314 0
538 213 52
538 394 0
538 669 0
539 367 156
539 505 0
539 688 0
539 773 113
540 106 0
540 607 2
540 624 161
541 850 0
542 999 100
543 310 24
544 999 93
545 30 0
545 44 0
545 185 193
545 190 0
545 525 0
545 750 0
545 930 0
546 287 0
546 327 0
547 224 0
548 336 0
549 999 74
550 215 0
550 699 0
551 898 42
552 673 0
552 844 0
553 147 0
553 347 0
553 382 0
553 544 93
554 437 24
554 931 0
554 995 0
555 118 67
556 999 102
557 461 98
557 617 99
557 676 83
558 999 67
559 999 97
560 186 58
560 353 0
561 337 0
561 463 0
561 617 0
562 779 83
563 319 0
564 628 0
564 841 0
565 348 49
565 378 33
565 749 88
566 682 0
566 719 0
567 999 219
568 999 10
569 459 0
569 643 0
570 999 150
571 999 159
572 676 0
573 57 0
574 412 122
575 98 67
575 113 92
575 304 58
576 3 0
576 386 0
576 745 130
577 236 54
577 280 35
577 549 65
577 639 69
577 791 0
578 61 0
579 999 21
580 218 0
580 222 2
580 454 19
580 808 0
581 975 0
582 215 0
582 603 0
582 846 0
583 53 0
583 330 0
583 343 0
583 480 0
583 649 87
584 90 0
584 579 21
584 629 49
585 409 103
585 520 0
585 778 0
586 559 97
587 82 0
588 433 0
589 89 18
590 579 0
590 627 0
591 999 29
592 53 71
592 86 0
592 645 77
592 669 49
593 54 0
593 186 0
593 729 0
594 986 0
595 999 58
596 999 87
597 343 8
597 420 0
598 538 52
598 704 54
599 515 0
600 125 188
600 771 0
601 29 0
601 70 0
601 81 0
601 186 0
601 427 0
602 716 0
603 440 0
603 863 0
603 902 0
603 978 0
604 74 0
605 531 0
605 548 0
605 798 0
606 999 89
607 556 0
607 750 62
607 831 0
608 656 0
608 922 0
609 251 0
609 301 0
609 320 0
609 351 0
609 590 0
610 124 0
610 344 98
610 858 188
611 999 78
612 999 120
613 632 0
614 663 0
615 489 53
615 807 0
615 969 0
616 161 0
616 413 0
616 429 0
616 512 0
616 840 0
617 774 99
618 621 0
619 999 22
620 665 0
620 954 116
621 737 0
622 25 0
622 82 38
623 762 7
624 999 288
625 371 0
626 734 0
626 845 0
626 880 169
627 876 0
628 140 60
629 999 129
630 110 55
631 107 0
631 412 60
631 887 0
632 360 76
633 999 89
634 757 144
635 5 0
635 231 0
635 297 0
636 61 0
636 189 0
637 999 191
638 999 56
639 17 187
639 716 0
640 653 95
640 914 0
641 661 0
642 402 0
643 109 0
643 293 39
644 719 0
645 999 125
646 892 0
647 31 26
647 570 77
647 821 0
648 999 207
649 419 87
650 361 0
650 444 0
650 840 0
651 202 0
651 547 0
651 650 0
651 666 0
652 234 0
653 40 0
653 334 0
653 906 95
654 405 0
654 415 0
654 726 0
655 288 0
655 608 0
655 695 67
656 687 0
656 775 0
657 721 0
657 772 2
657 937 34
658 58 0
658 590 0
658 705 0
658 902 0
659 999 92
660 36 0
660 206 0
660 342 18
660 442 0
660 891 0
661 707 0
662 944 100
663 907 60
664 422 115
664 476 0
665 921 58
666 193 0
666 279 0
666 526 0
666 534 0
667 705 50
668 215 0
668 822 93
669 459 34
669 532 15
670 999 224
671 166 0
672 852 0
673 959 0
674 225 0
674 395 39
675 999 45
676 265 0
676 726 112
677 324 0
677 459 53
677 510 77
677 902 1
677 944 29
678 253 0
678 922 5
679 217 265
679 504 77
679 777 63
680 999 154
681 999 252
682 352 182
683 727 60
683 889 31
684 293 0
684 418 203
684 552 0
684 762 33
685 638 17
686 499 193
687 362 0
688 965 0
689 301 0
690 70 0
690 304 0
690 773 0
691 999 83
692 761 0
693 63 0
693 526 0
693 583 87
694 891 0
694 938 0
695 999 134
696 95 0
696 428 0
696 703 0
696 850 40
697 29 0
697 306 0
698 364 5
699 53 140
699 81 76
699 330 11
699 582 0
699 660 18
699 920 0
700 235 0
700 609 0
701 677 160
701 866 0
702 663 60
703 9 0
704 628 56
704 962 0
705 999 144
706 329 37
706 344 0
706 452 77
706 540 43
706 574 76
706 709 42
706 807 0
707 211 0
707 256 0
707 632 0
708 658 0
709 999 42
710 443 0
710 950 0
710 995 34
711 182 10
711 738 0
711 778 0
711 792 29
711 817 34
712 273 0
712 306 0
712 510 0
713 212 0
713 235 0
713 640 0
713 703 0
713 730 0
714 172 0
714 293 0
714 823 150
715 574 0
715 773 0
715 951 0
716 344 0
716 349 0
717 999 86
718 424 11
718 664 9
718 956 27
719 269 0
719 302 0
720 448 0
720 602 0
720 674 0
721 515 0
722 999 28
723 646 0
723 865 0
724 342 99
724 429 0
724 641 0
724 868 83
725 837 0
725 895 124
725 982 79
726 999 156
727 448 0
727 793 132
728 773 0
729 520 0
730 999 64
731 157 0
731 215 0
731 574 0
731 607 0
732 129 130
732 556 0
733 421 0
733 801 0
734 10 0
735 364 0
735 590 0
735 784 0
736 894 0
737 278 0
737 297 0
738 651 0
738 942 0
739 999 269
740 999 39
741 810 18
741 836 63
742 999 83
743 601 0
744 220 0
745 999 230
746 999 179
747 681 99
748 64 0
748 72 87
748 206 0
748 353 0
748 388 0
748 420 0
749 999 186
750 999 225
751 164 0
752 127 0
753 999 52
754 863 0
755 449 81
755 491 84
756 884 229
757 999 269
758 999 97
759 439 0
760 32 42
760 37 0
761 191 0
761 415 0
761 824 0
762 127 0
762 567 167
763 258 103
763 919 0
764 16 135
764 225 0
764 782 0
765 126 91
765 250 0
766 999 28
767 402 0
767 513 86
768 27 73
768 172 0
769 388 0
770 90 0
770 743 0
771 834 0
772 482 92
773 386 0
773 886 113
774 999 158
775 712 0
775 977 0
776 503 0
776 984 44
777 328 0
777 981 63
778 2 0
778 911 0
779 530 83
780 862 36
781 377 0
781 529 0
781 971 0
782 582 0
782 827 0
783 999 276
784 46 0
784 61 0
784 772 0
785 408 0
786 107 0
786 122 82
786 705 94
787 890 0
788 113 1
788 730 64
788 823 20
789 999 94
790 209 0
791 385 0
792 96 29
792 261 0
793 999 132
794 890 0
795 158 0
795 884 93
796 864 112
797 751 0
798 618 0
799 231 83
799 533 0
799 926 0
800 338 0
801 806 0
802 504 76
802 662 18
802 933 7
803 323 0
804 162 0
804 966 87
805 580 21
805 944 2
806 166 0
807 4 0
807 68 0
808 626 0
809 440 0
809 614 0
810 999 18
811 205 39
812 744 0
813 682 0
813 873 0
814 98 31
814 197 0
814 411 70
814 591 29
815 999 74
816 240 222
816 477 0
817 999 63
818 999 22
819 523 0
820 282 80
821 317 0
821 336 0
821 639 0
822 483 0
822 795 93
823 251 178
824 175 0
824 623 0
824 865 0
824 911 0
825 104 0
825 681 95
826 999 17
827 319 0
827 824 0
827 898 0
828 345 42
828 644 0
829 69 0
829 732 130
829 884 0
830 999 128
831 645 48
832 232 28
832 729 0
833 491 0
833 524 0
833 569 0
834 587 0
834 849 0
835 452 4
836 999 63
837 97 0
837 104 0
837 301 0
837 579 0
838 797 0
838 987 0
839 364 43
839 388 75
839 718 47
840 420 0
841 5 23
841 534 28
841 939 13
842 18 4
842 586 8
843 130 0
843 468 0
844 329 0
845 31 0
845 521 0
845 547 0
846 338 0
847 807 0
848 13 34
848 84 7
848 208 0
848 620 24
848 959 0
848 998 0
849 733 0
850 739 269
851 337 0
851 462 0
852 879 0
853 220 0
853 308 0
853 593 0
853 656 0
854 388 0
854 433 0
854 968 0
855 611 0
856 795 0
857 735 0
858 159 95
858 164 0
858 549 9
858 939 84
859 90 0
859 285 6
859 889 0
859 958 52
860 346 0
861 297 0
861 508 4
862 337 0
862 452 36
862 920 0
862 926 0
863 922 0
864 999 112
865 106 0
865 434 0
866 24 0
866 75 0
866 108 0
866 577 0
866 700 0
867 102 0
867 682 97
868 750 126
869 999 98
870 509 0
870 550 0
870 740 3
870 873 0
871 999 105
872 89 0
872 207 0
872 354 0
873 188 0
874 38 0
874 107 0
874 375 0
874 806 0
875 999 4
876 154 0
876 822 0
876 880 0
876 967 0
877 746 0
878 323 0
878 367 0
879 199 0
879 290 0
879 503 0
879 613 0
879 954 0
880 465 317
880 525 127
880 613 0
881 117 0
881 639 0
881 644 0
881 670 0
881 726 44
881 838 0
882 424 89
882 918 0
883 891 90
883 956 53
884 999 322
885 187 0
885 688 0
885 997 0
886 153 59
886 238 0
886 561 0
886 862 0
886 904 54
887 611 0
887 968 0
888 239 130
888 692 0
889 999 157
890 386 0
890 462 0
891 41 82
891 68 108
892 29 0
892 949 0
893 710 25
894 305 149
894 393 0
894 769 0
894 774 0
895 506 57
895 655 67
896 57 0
896 164 0
896 745 81
896 860 0
897 632 76
897 735 0
898 136 0
898 403 115
898 965 0
899 191 17
899 196 0
900 120 0
900 310 0
901 141 0
902 999 1
903 415 87
904 999 54
905 684 7
906 1 0
906 763 103
906 837 0
907 410 7
907 502 0
907 561 0
907 566 0
907 941 0
907 983 53
908 737 0
909 880 179
910 364 23
910 509 88
910 812 0
910 826 17
910 916 100
911 160 0
912 748 87
913 203 0
913 385 0
913 476 0
914 398 0
915 353 0
915 561 0
915 873 0
916 1 0
916 166 0
916 260 6
916 624 127
916 959 0
917 2 123
917 825 95
918 240 0
918 901 0
919 666 0
919 950 0
920 10 0
920 428 0
920 636 0
921 510 58
921 872 0
922 408 5
923 121 130
923 890 0
924 637 191
925 206 4
925 225 0
925 255 32
925 402 0
925 690 0
925 800 0
926 854 0
927 24 81
927 463 80
927 674 39
928 675 45
928 924 15
929 999 73
930 158 0
930 372 0
930 837 0
930 858 0
931 662 0
932 479 0
933 999 7
934 180 0
934 416 0
934 443 0
934 770 0
935 373 24
935 819 0
936 194 155
936 398 148
936 831 0
937 540 70
937 821 0
938 118 0
938 439 0
938 641 0
939 999 97
940 999 182
941 960 0
942 697 0
943 135 0
943 633 0
943 752 0
944 87 0
944 571 131
944 577 0
945 764 29
946 999 132
947 332 0
947 613 0
947 889 57
948 999 14
949 533 0
950 605 0
951 285 27
951 387 99
952 12 0
952 397 75
952 496 0
952 938 0
953 80 0
953 369 71
953 774 59
954 850 116
955 226 20
956 999 80
957 999 90
958 358 0
958 396 0
958 567 52
959 967 0
960 386 0
961 841 0
962 102 0
962 306 0
962 362 0
963 108 10
963 570 73
963 947 57
964 150 0
964 358 20
965 999 74
966 999 173
967 76 0
968 188 167
968 520 0
968 547 0
969 272 0
969 774 0
970 187 8
970 746 63
971 61 0
971 343 0
971 511 0
972 928 0
973 999 141
974 133 0
974 556 0
974 633 1
974 648 22
974 737 0
975 461 0
975 676 29
976 48 0
976 822 0
977 417 0
978 636 0
979 493 63
979 689 0
980 999 64
981 168 63
981 306 0
981 708 0
982 999 79
983 563 0
983 680 53
984 682 0
984 946 44
985 98 0
985 531 0
986 123 140
987 215 0
987 393 4
987 406 0
987 596 87
987 696 40
987 991 27
988 86 0
989 999 31
990 58 14
991 212 0
991 488 78
991 872 0
992 78 0
992 691 83
992 818 22
993 999 86
994 469 0
994 620 31
995 999 34
996 408 32
997 203 0
998 938 0
